活动场地,星期二 (14.45-15.55),星期二 (15.55-17.00-延长练习),星期六 (08.00-10.30),星期六 (10.30-13.30)
C001 化学室 1,,,,
C003 化学室 2,,,,
C101,C03 合唱团,,C03 合唱团,C03 合唱团
C102,D27 弦乐团,,D27 弦乐团,D27 弦乐团
C103,D27 弦乐团,,D27 弦乐团,D27 弦乐团
C104,D27 弦乐团,,D27 弦乐团,D27 弦乐团
C201 物理实验室,,,,
C202 生物实验室,D05 生物学会,,,
C301,,,,
C302,B09 华语口才培训队,,B09 华语口才培训队,B09 华语口才培训队
C303,B09 华语口才培训队,,B09 华语口才培训队,B09 华语口才培训队
C304,B12 时事常识培训队,,B12 时事常识培训队,B12 时事常识培训队
